date,price,ci_lower,ci_upper
2026-08-24,208.08967846073494,199.74143762794787,216.43791929352201
2026-08-25,207.1697546393563,195.9329372808543,218.40657199785832
2026-08-26,206.70127830310048,193.2477261330833,220.15483047311767
2026-08-27,206.74161927614253,191.39698715507632,222.08625139720874
2026-08-28,207.5762122162903,190.55043438815255,224.60199004442802
2026-08-31,207.54696667619203,189.2663985824832,225.82753476990086
2026-09-01,206.79568209180687,187.31730507330482,226.2740591103089
2026-09-02,206.81596310634552,186.20580320222695,227.4261230104641
2026-09-03,206.95098599451623,185.26754152299395,228.6344304660385
2026-09-04,207.33355111065399,184.6274152312792,230.03968699002877
2026-09-07,207.48554557406683,183.74798933995646,231.2231018081772
2026-09-08,206.717452414762,181.99745777487175,231.43744705465224
2026-09-09,206.6890268220415,181.02489834238006,232.35315530170297
2026-09-10,206.81461430308158,180.2399753883945,233.38925321776867
2026-09-11,207.24222533504965,179.78725523022456,234.69719543987475
2026-09-14,207.37615868775626,179.04529585922407,235.70702151628845
2026-09-15,206.6097405530447,177.432565531745,235.7869155743444
2026-09-16,206.58616871956906,176.58686554481017,236.58547189432795
2026-09-17,206.71269646718162,175.91324554497362,237.5121473893896
2026-09-18,207.1358185387328,175.55647656111623,238.71516051634936
