date,price,ci_lower,ci_upper
2026-08-24,219.99186711861654,210.4796223746863,229.50411186254678
2026-08-25,219.7053407368909,206.00258889255423,233.40809258122755
2026-08-26,219.88323301209235,203.18041353678097,236.58605248740372
2026-08-27,219.4234706080249,200.04368662734848,238.80325458870132
2026-08-28,220.0155843756282,198.3963755835904,241.634793167666
2026-08-31,219.5525677375728,195.7499386097078,243.35519686543776
2026-09-01,220.02410115568716,194.2949083463464,245.75329396502792
2026-09-02,219.54131208279878,191.96053317873165,247.1220909868659
2026-09-03,219.6756978911473,190.40983668066673,248.9415591016279
2026-09-04,219.74899735918143,188.84804522627022,250.64994949209265
2026-09-07,219.74914064531745,187.28719016326187,252.21109112737304
2026-09-08,219.80951220880317,185.82716549156322,253.79185892604312
2026-09-09,219.69174304302555,184.2816464684634,255.1018396175877
2026-09-10,219.5021022937229,182.69617682133173,256.3080277661141
2026-09-11,219.86306332034826,181.73244321304088,257.99368342765564
2026-09-14,219.60784523578965,180.14307053094547,259.07261994063384
2026-09-15,219.89490849586883,179.15443691367892,260.63538007805874
2026-09-16,219.5758985642683,177.5868923979892,261.5649047305474
2026-09-17,219.56490510181357,176.3734487230955,262.7563614805316
2026-09-18,219.7672757699918,175.39729529579103,264.1372562441926
