price_date,commodity,origin_id,price_usd_per_tonne
2025-03-03,coal_newcastle,1,107.4
2025-03-03,wheat_gulf,3,230.9
2025-03-03,corn_gulf,3,227.2
2025-03-04,coal_newcastle,1,103.6
2025-03-04,wheat_gulf,3,226.7
2025-03-04,corn_gulf,3,230.6
2025-03-05,coal_newcastle,1,104.8
2025-03-05,wheat_gulf,3,225.3
2025-03-05,corn_gulf,3,235.2
2025-03-06,coal_newcastle,1,107.7
2025-03-06,wheat_gulf,3,229.3
2025-03-06,corn_gulf,3,238.2
2025-03-07,coal_newcastle,1,106.5
2025-03-07,wheat_gulf,3,228.4
2025-03-07,corn_gulf,3,233.1
2025-03-10,coal_newcastle,1,102.7
2025-03-10,wheat_gulf,3,219.2
2025-03-10,corn_gulf,3,233.3
2025-03-11,coal_newcastle,1,102.3
2025-03-11,wheat_gulf,3,225.4
2025-03-11,corn_gulf,3,224.2
2025-03-12,coal_newcastle,1,106.6
2025-03-12,wheat_gulf,3,230.2
2025-03-12,corn_gulf,3,222.0
2025-03-13,coal_newcastle,1,114.1
2025-03-13,wheat_gulf,3,225.8
2025-03-13,corn_gulf,3,218.4
2025-03-14,coal_newcastle,1,114.0
2025-03-14,wheat_gulf,3,237.3
2025-03-14,corn_gulf,3,215.9
2025-03-17,coal_newcastle,1,110.3
2025-03-17,wheat_gulf,3,234.4
2025-03-17,corn_gulf,3,214.4
2025-03-18,coal_newcastle,1,108.5
2025-03-18,wheat_gulf,3,229.7
2025-03-18,corn_gulf,3,209.8
2025-03-19,coal_newcastle,1,110.6
2025-03-19,wheat_gulf,3,228.5
2025-03-19,corn_gulf,3,209.1
2025-03-20,coal_newcastle,1,110.7
2025-03-20,wheat_gulf,3,231.5
2025-03-20,corn_gulf,3,208.8
2025-03-21,coal_newcastle,1,112.0
2025-03-21,wheat_gulf,3,230.2
2025-03-21,corn_gulf,3,208.4
2025-03-24,coal_newcastle,1,106.6
2025-03-24,wheat_gulf,3,252.1
2025-03-24,corn_gulf,3,209.4
2025-03-25,coal_newcastle,1,110.0
2025-03-25,wheat_gulf,3,255.0
2025-03-25,corn_gulf,3,206.9
